word,0,rank,freq
the,32682,1.0,0.06438344020566768
to,17827,2.0,0.035119135565339875
of,17438,3.0,0.034352806753149535
ebola,12455,4.0,0.02453631196871645
no,11772,5.0,0.023190804054253715
is,9399,6.0,0.018516001300197985
community,9106,7.0,0.0179387921948721
and,8990,8.0,0.01771027254907755
in,8946,9.0,0.01762359268343134
are,7396,10.0,0.014570097416349004
will,6239,11.0,0.012290810949243029
dead,6186,12.0,0.012186401111078278
sick,6015,13.0,0.011849531633225968
they,5897,14.0,0.01161707199353841
for,5879,15.0,0.011581612048501324
people,5265,16.0,0.010372033923347419
washing,5253,17.0,0.010348393959989361
body,5102,18.0,0.010050924421067147
not,4814,19.0,0.009483565300473784
be,4240,20.0,0.008352787053180068
when,4199,21.0,0.008272017178373373
hand,4015,22.0,0.007909537740216502
burial,3936,23.0,0.0077539079814426285
their,3891,24.0,0.0076652581188499155
strangers,3658,25.0,0.007206248830314313
should,3630,26.0,0.00715108891581218
nan,3420,27.0,0.006737389557046187
bush,3271,28.0,0.006443860012016981
that,3207,29.0,0.006317780207440679
contact,3106,30.0,0.006118810515843701
government,2904,31.0,0.005720871132649744
we,2880,32.0,0.005673591205933631
person,2865,33.0,0.00564404125173606
allowed,2820,34.0,0.005555391389143347
end,2771,35.0,0.005458861538764615
with,2636,36.0,0.005192911950986476
eating,2589,37.0,0.005100322094500754
meat,2541,38.0,0.005005762241068527
bodies,2501,39.0,0.004926962363208337
touching,2485,40.0,0.004895442412064261
shaking,2468,41.0,0.004861952463973681
have,2259,42.0,0.004450223102154192
from,2244,43.0,0.004420673147956621
by,2234,44.0,0.004400973178491573
all,2209,45.0,0.004351723254828955
if,1940,46.0,0.003821794076219182
there,1890,47.0,0.0037232942288939453
an,1871,48.0,0.0036858642869103554
team,1838,49.0,0.003620854387675699
any,1821,50.0,0.0035873644395851187
this,1818,51.0,0.0035814544487456045
or,1774,52.0,0.003494774583099396
why,1768,53.0,0.003482954601420368
do,1713,54.0,0.0033746047693626073
our,1674,55.0,0.0032977748884489228
at,1653,56.0,0.0032564049525723236
health,1652,57.0,0.003254434955625819
one,1645,58.0,0.003240644977000286
has,1604,59.0,0.0031598751021935916
000,1530,60.0,0.0030140953281522415
it,1526,61.0,0.0030062153403662226
them,1469,62.0,0.002893925514415453
need,1455,63.0,0.0028663455571643864
out,1422,64.0,0.00280133565792973
what,1351,65.0,0.0026614658747278943
going,1347,66.0,0.0026535858869418754
can,1303,67.0,0.002566906021295667
want,1276,68.0,0.002513716103740039
school,1257,69.0,0.0024762861617564492
action,1241,70.0,0.0024447662106123736
fine,1204,71.0,0.0023718763235916983
public,1132,72.0,0.0022300365434433575
gathering,1122,73.0,0.0022103365739783104
allow,1121,74.0,0.0022083665770318054
come,1118,75.0,0.0022024565861922915
stranger,1116,76.0,0.002198516592299282
laws,1114,77.0,0.0021945765984062726
on,1109,78.0,0.0021847266136737487
how,1089,79.0,0.002145326674743654
food,1048,80.0,0.00206455679993696
home,1035,81.0,0.0020389468396323986
virus,1025,82.0,0.002019246870167351
as,1015,83.0,0.001999546900702304
avoid,993,84.0,0.0019562069678792
after,984,85.0,0.0019384769953606571
sierra,978,86.0,0.0019266570136816288
leone,972,87.0,0.0019148370320026004
country,968,88.0,0.0019069570442165815
children,953,89.0,0.0018774070900190105
le,943,90.0,0.0018577071205539632
movement,933,91.0,0.001838007151088916
schools,928,92.0,0.0018281571663563922
lack,922,93.0,0.0018163371846773638
poor,898,94.0,0.0017690572579612501
visiting,892,95.0,0.0017572372762822217
some,891,96.0,0.0017552672793357171
plan,883,97.0,0.001739507303763679
pay,871,98.0,0.0017158673404056224
because,851,99.0,0.0016764674014755278
