,Trig_date,District,Chiefdom,Section,Name_of_community,t_q1,t_q2,t_q3,t_q4,t_q5,t_q6,t_q7,t_q8,t_q9,t_q10,t_q11
0,2014-10-12,Kailahun,Luawa,Baoma,Sokebo,Last week,1.0,1.0,Youth Leader,Very High,With the interrvention of Restless Development Ebola can be stopped,do we need to avoid all bush meat or just monkeys,"Keeping sick persons in the community, Using the properties of Ebola infected person",no sick person should be kept at home no one should wash dead bodies,High rate of teenage pregnancy ,They are capable of carrying out action plan and there is no obsatcle 
1,2014-11-12,Bo,Bagbo,Ngolapon,Ndeima,3weeks,1.0,1.0,Member,High,"Late arrival of burial team, ineffectiveness of the hot line",Why ebola is not curable,Poor awareness by the community,strangers not allowed,To engage teenage mothers on livelihood activities,
2,2014-11-12,Bo,Jaiama Bongor,Upper Kama,Walihun,,1.0,1.0,Member,High,Delay of the burial team,How do we know that someone has ebola,Accomodation of strangers,guests not allowed,We need PPEs to bury our dead,There concern is that we they want the organisation to make provision of Top Up for there community champoins for  easy and effective communicattion between community  and the Organization
3,2014-11-12,Bo,Niawa Lenga,Lower,Mbelebu,,1.0,1.0,ordinary citizen,High,they are not happy with the intervention of the . militry personnel being deployed in the fight against Ebola,when is Ebola going to come to an end?,"touching an infected person,washing dead body.",strangers are not allowed in the community sick persons must be allowed to go to the hospital,8 members of the community have been appointed to do a house to house search for sick persons,"if they are given the necessary ,they can easily impliment the action plan."
4,2014-11-12,Bo,Valunia,Lunia,Kpetema,4 weeks or more,1.0,1.0,youth leader,High,their concerns where the Gosl will be able to take goo care of those children who lost their parent from ebola.,Ifafter ebola they will be washing dead people.,The asses that the key risk of contacting ebola is by washing the dead.,not allowing stranger to enter and stay with them,The government should support them because they are realy taking the lead to frihgt Ebola.,Their expectation is very high.
5,2014-11-12,Bo,Valunia,Lunia,Lamabu,4 weeks or more,1.0,1.0,Imam,High,Their concerns were aftert this ebola wether this bye laws are going to continue.,when will the ebola out break will be erradicate so that their children will continue schooling,Caring for the sick and wshing the body of a person who died of ebola.,caring for the sick at home is not allowed by the people in the community who so ever violate this law will the count of law,The fright of ebola is not only on the Gosl but the also need to come together in other to put an end to this.,our concerns are for those who will be caring for the people they will issolate in  seprate room with ot any proper protective gear while watting for the medical team.
6,2014-11-12,Bo,Valunia,Lunia,Monghere,4 weeks or more,1.0,1.0,Member,High,Their concerns were due to this out break most of their girl chieldren has pregnant.,The asked why ebola out break in sierra leone have stand still compear to other coutries like nagerie.,Washing dead and crearing for the sick.,none is allowed to wash burial some one who die in the house except the burial team,they were saying that since we are staying in their community and work with them for five month it means ebola will not end untill the five month end.,our concerns were wether this people will leave their farm work and concentrate to our work when the know that we are paying them.
7,2014-11-12,Bo,Valunia,Vargellu,Yambama,4 weeks or more,1.0,1.0,Member,High,Government should vaccinate all bush animal after Ebola,When s/leoneanes will be free from Ebola,eating bush meat like monkey bats,screening of stranger in their community,Government should work hard to eradicate ebola in sierra leone,No team work from the coommunity.
8,2014-11-12,Kailahun,Luawa,Luawa Foiya,Mbenahun,Last week,1.0,1.0,Ordinary Citizen ,Very High,Early treatment can lead to survival ,All Ebola survivors are allowed to stay in the community,"Using the property of Ebola infected persons, Washing/buring dead bodies, Touching sick people and eating bush meat",public gathering is not allowed,"Restless Development is the only Organization that calls them together, sit with them to share important ideas related to Ebola",They are capable of carrying out action plan and there is no obsatcle 
9,2014-11-12,Moyamba,Kongobora,Tongea,Moyoba,,1.0,1.0,Town chief,Medium,Lack of bucket for hand washing,When will ebola end?,"Treating sick people secreatly, Washing and touching dead bodies",obey the law of the government,"No health facility, no support for our children to go to school",
