OBJECTID1,OBJECTID2,OBJECTID1_admin1Name,OBJECTID1_admin2Name,OBJECTID1_admin3Name,OBJECTID2_admin1Name,OBJECTID2_admin2Name,OBJECTID2_admin3Name
1,1,Southern,Pujehun,Yakemu Kpukumu,Southern,Pujehun,Yakemu Kpukumu
4,1,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Yakemu Kpukumu
6,1,Southern,Pujehun,Kpaka,Southern,Pujehun,Yakemu Kpukumu
14,1,Southern,Bonthe,Kwamebai Krim,Southern,Pujehun,Yakemu Kpukumu
19,1,Southern,Pujehun,Mono Sakrim,Southern,Pujehun,Yakemu Kpukumu
21,1,Southern,Pujehun,Panga krim,Southern,Pujehun,Yakemu Kpukumu
2,2,Northern,Port Loko,Koya,Northern,Port Loko,Koya
53,2,Southern,Moyamba,Ribbi,Northern,Port Loko,Koya
89,2,Northern,Port Loko,Marampa,Northern,Port Loko,Koya
93,2,Northern,Port Loko,Maforki,Northern,Port Loko,Koya
107,2,Northern,Tonkolili,Yoni,Northern,Port Loko,Koya
110,2,Northern,Port Loko,Masimera,Northern,Port Loko,Koya
155,2,Western,Western Area Rural,Koya Rural,Northern,Port Loko,Koya
157,2,Western,Western Area Rural,Waterloo Rural,Northern,Port Loko,Koya
3,3,Northern,Port Loko,Bureh Kasseh Ma,Northern,Port Loko,Bureh Kasseh Ma
93,3,Northern,Port Loko,Maforki,Northern,Port Loko,Bureh Kasseh Ma
96,3,Northern,Port Loko,Dibia,Northern,Port Loko,Bureh Kasseh Ma
109,3,Northern,Port Loko,Lokomasama,Northern,Port Loko,Bureh Kasseh Ma
111,3,Northern,Port Loko,Sanda Magbolont,Northern,Port Loko,Bureh Kasseh Ma
136,3,Northern,Kambia,Mambolo,Northern,Port Loko,Bureh Kasseh Ma
151,3,Northern,Kambia,Magbema,Northern,Port Loko,Bureh Kasseh Ma
152,3,Northern,Kambia,Masungbala,Northern,Port Loko,Bureh Kasseh Ma
1,4,Southern,Pujehun,Yakemu Kpukumu,Southern,Pujehun,Panga Kabonde
4,4,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Panga Kabonde
5,4,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Panga Kabonde
6,4,Southern,Pujehun,Kpaka,Southern,Pujehun,Panga Kabonde
7,4,Southern,Bonthe,Bum,Southern,Pujehun,Panga Kabonde
14,4,Southern,Bonthe,Kwamebai Krim,Southern,Pujehun,Panga Kabonde
18,4,Southern,Pujehun,Malen,Southern,Pujehun,Panga Kabonde
19,4,Southern,Pujehun,Mono Sakrim,Southern,Pujehun,Panga Kabonde
20,4,Southern,Pujehun,Sowa,Southern,Pujehun,Panga Kabonde
21,4,Southern,Pujehun,Panga krim,Southern,Pujehun,Panga Kabonde
23,4,Southern,Pujehun,Pejeh(Futa peje,Southern,Pujehun,Panga Kabonde
4,5,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Galliness Perri
5,5,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Galliness Perri
6,5,Southern,Pujehun,Kpaka,Southern,Pujehun,Galliness Perri
10,5,Southern,Pujehun,Barri,Southern,Pujehun,Galliness Perri
21,5,Southern,Pujehun,Panga krim,Southern,Pujehun,Galliness Perri
23,5,Southern,Pujehun,Pejeh(Futa peje,Southern,Pujehun,Galliness Perri
24,5,Southern,Pujehun,Soro Gbema,Southern,Pujehun,Galliness Perri
1,6,Southern,Pujehun,Yakemu Kpukumu,Southern,Pujehun,Kpaka
4,6,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Kpaka
5,6,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Kpaka
6,6,Southern,Pujehun,Kpaka,Southern,Pujehun,Kpaka
19,6,Southern,Pujehun,Mono Sakrim,Southern,Pujehun,Kpaka
21,6,Southern,Pujehun,Panga krim,Southern,Pujehun,Kpaka
24,6,Southern,Pujehun,Soro Gbema,Southern,Pujehun,Kpaka
4,7,Southern,Pujehun,Panga Kabonde,Southern,Bonthe,Bum
7,7,Southern,Bonthe,Bum,Southern,Bonthe,Bum
13,7,Southern,Bonthe,Kpanda Kemo,Southern,Bonthe,Bum
14,7,Southern,Bonthe,Kwamebai Krim,Southern,Bonthe,Bum
18,7,Southern,Pujehun,Malen,Southern,Bonthe,Bum
31,7,Southern,Bonthe,Sogbeni,Southern,Bonthe,Bum
32,7,Southern,Bonthe,Yawbeko,Southern,Bonthe,Bum
50,7,Southern,Bo,Bagbo,Southern,Bonthe,Bum
8,8,Southern,Bo,Komboya,Southern,Bo,Komboya
9,8,Southern,Bo,Valunia,Southern,Bo,Komboya
38,8,Eastern,Kenema,Simbaru,Southern,Bo,Komboya
58,8,Eastern,Kenema,Gorama Mende,Southern,Bo,Komboya
67,8,Eastern,Kenema,Wandor,Southern,Bo,Komboya
83,8,Southern,Bo,Badjia,Southern,Bo,Komboya
84,8,Southern,Bo,Bagbwe(Bagbe),Southern,Bo,Komboya
92,8,Southern,Bo,Niawa Lenga,Southern,Bo,Komboya
8,9,Southern,Bo,Komboya,Southern,Bo,Valunia
9,9,Southern,Bo,Valunia,Southern,Bo,Valunia
34,9,Southern,Bo,Selenga,Southern,Bo,Valunia
48,9,Southern,Moyamba,Kamajei,Southern,Bo,Valunia
58,9,Eastern,Kenema,Gorama Mende,Southern,Bo,Valunia
86,9,Southern,Bo,Gbo,Southern,Bo,Valunia
92,9,Southern,Bo,Niawa Lenga,Southern,Bo,Valunia
97,9,Northern,Tonkolili,Kunike Barina,Southern,Bo,Valunia
98,9,Northern,Tonkolili,Gbonkolenken,Southern,Bo,Valunia
5,10,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Barri
10,10,Southern,Pujehun,Barri,Southern,Pujehun,Barri
17,10,Southern,Pujehun,Makpele,Southern,Pujehun,Barri
23,10,Southern,Pujehun,Pejeh(Futa peje,Southern,Pujehun,Barri
24,10,Southern,Pujehun,Soro Gbema,Southern,Pujehun,Barri
59,10,Eastern,Kenema,Koya,Southern,Pujehun,Barri
62,10,Eastern,Kenema,Niawa,Southern,Pujehun,Barri
68,10,Eastern,Kenema,Tunkia,Southern,Pujehun,Barri
11,11,Northern,Port Loko,Buya Romende,Northern,Port Loko,Buya Romende
89,11,Northern,Port Loko,Marampa,Northern,Port Loko,Buya Romende
93,11,Northern,Port Loko,Maforki,Northern,Port Loko,Buya Romende
113,11,Northern,Port Loko,TMS,Northern,Port Loko,Buya Romende
142,11,Northern,Bombali,Libeisaygahun,Northern,Port Loko,Buya Romende
145,11,Northern,Bombali,Makari Gbanti,Northern,Port Loko,Buya Romende
12,12,Northern,Kambia,Bramaia,Northern,Kambia,Bramaia
79,12,Northern,Kambia,Gbinle Dixing,Northern,Kambia,Bramaia
149,12,Northern,Bombali,Tambakha,Northern,Kambia,Bramaia
151,12,Northern,Kambia,Magbema,Northern,Kambia,Bramaia
154,12,Northern,Kambia,Tonko Limba,Northern,Kambia,Bramaia
7,13,Southern,Bonthe,Bum,Southern,Bonthe,Kpanda Kemo
13,13,Southern,Bonthe,Kpanda Kemo,Southern,Bonthe,Kpanda Kemo
29,13,Southern,Bonthe,Jong,Southern,Bonthe,Kpanda Kemo
31,13,Southern,Bonthe,Sogbeni,Southern,Bonthe,Kpanda Kemo
50,13,Southern,Bo,Bagbo,Southern,Bonthe,Kpanda Kemo
57,13,Southern,Moyamba,Upper Banta,Southern,Bonthe,Kpanda Kemo
85,13,Southern,Bo,Bumpe Ngao,Southern,Bonthe,Kpanda Kemo
90,13,Southern,Bo,Lugbu,Southern,Bonthe,Kpanda Kemo
1,14,Southern,Pujehun,Yakemu Kpukumu,Southern,Bonthe,Kwamebai Krim
4,14,Southern,Pujehun,Panga Kabonde,Southern,Bonthe,Kwamebai Krim
7,14,Southern,Bonthe,Bum,Southern,Bonthe,Kwamebai Krim
14,14,Southern,Bonthe,Kwamebai Krim,Southern,Bonthe,Kwamebai Krim
15,14,Southern,Bonthe,Nongoba Bullom,Southern,Bonthe,Kwamebai Krim
19,14,Southern,Pujehun,Mono Sakrim,Southern,Bonthe,Kwamebai Krim
32,14,Southern,Bonthe,Yawbeko,Southern,Bonthe,Kwamebai Krim
14,15,Southern,Bonthe,Kwamebai Krim,Southern,Bonthe,Nongoba Bullom
15,15,Southern,Bonthe,Nongoba Bullom,Southern,Bonthe,Nongoba Bullom
25,15,Southern,Bonthe,Bendu-Cha,Southern,Bonthe,Nongoba Bullom
29,15,Southern,Bonthe,Jong,Southern,Bonthe,Nongoba Bullom
32,15,Southern,Bonthe,Yawbeko,Southern,Bonthe,Nongoba Bullom
16,16,Southern,Bonthe,Sittia,Southern,Bonthe,Sittia
27,16,Southern,Bonthe,Dema,Southern,Bonthe,Sittia
36,16,Southern,Bonthe,Bonthe Urban,Southern,Bonthe,Sittia
10,17,Southern,Pujehun,Barri,Southern,Pujehun,Makpele
17,17,Southern,Pujehun,Makpele,Southern,Pujehun,Makpele
24,17,Southern,Pujehun,Soro Gbema,Southern,Pujehun,Makpele
68,17,Eastern,Kenema,Tunkia,Southern,Pujehun,Makpele
4,18,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Malen
7,18,Southern,Bonthe,Bum,Southern,Pujehun,Malen
18,18,Southern,Pujehun,Malen,Southern,Pujehun,Malen
20,18,Southern,Pujehun,Sowa,Southern,Pujehun,Malen
50,18,Southern,Bo,Bagbo,Southern,Pujehun,Malen
81,18,Southern,Bo,Jaiama Bongor,Southern,Pujehun,Malen
94,18,Southern,Bo,Wonde,Southern,Pujehun,Malen
1,19,Southern,Pujehun,Yakemu Kpukumu,Southern,Pujehun,Mono Sakrim
4,19,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Mono Sakrim
6,19,Southern,Pujehun,Kpaka,Southern,Pujehun,Mono Sakrim
14,19,Southern,Bonthe,Kwamebai Krim,Southern,Pujehun,Mono Sakrim
19,19,Southern,Pujehun,Mono Sakrim,Southern,Pujehun,Mono Sakrim
4,20,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Sowa
18,20,Southern,Pujehun,Malen,Southern,Pujehun,Sowa
20,20,Southern,Pujehun,Sowa,Southern,Pujehun,Sowa
23,20,Southern,Pujehun,Pejeh(Futa peje,Southern,Pujehun,Sowa
49,20,Eastern,Kenema,Langrama,Southern,Pujehun,Sowa
94,20,Southern,Bo,Wonde,Southern,Pujehun,Sowa
1,21,Southern,Pujehun,Yakemu Kpukumu,Southern,Pujehun,Panga krim
4,21,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Panga krim
5,21,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Panga krim
6,21,Southern,Pujehun,Kpaka,Southern,Pujehun,Panga krim
21,21,Southern,Pujehun,Panga krim,Southern,Pujehun,Panga krim
22,22,Eastern,Kailahun,Penguia,Eastern,Kailahun,Penguia
42,22,Eastern,Kailahun,Luawa,Eastern,Kailahun,Penguia
75,22,Eastern,Kailahun,Kpeje Bongre,Eastern,Kailahun,Penguia
76,22,Eastern,Kailahun,Kpeje West,Eastern,Kailahun,Penguia
82,22,Eastern,Kailahun,Yawei,Eastern,Kailahun,Penguia
116,22,Eastern,Kono,Soa,Eastern,Kailahun,Penguia
117,22,Eastern,Kono,Gbane,Eastern,Kailahun,Penguia
4,23,Southern,Pujehun,Panga Kabonde,Southern,Pujehun,Pejeh(Futa peje
5,23,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Pejeh(Futa peje
10,23,Southern,Pujehun,Barri,Southern,Pujehun,Pejeh(Futa peje
20,23,Southern,Pujehun,Sowa,Southern,Pujehun,Pejeh(Futa peje
23,23,Southern,Pujehun,Pejeh(Futa peje,Southern,Pujehun,Pejeh(Futa peje
49,23,Eastern,Kenema,Langrama,Southern,Pujehun,Pejeh(Futa peje
62,23,Eastern,Kenema,Niawa,Southern,Pujehun,Pejeh(Futa peje
5,24,Southern,Pujehun,Galliness Perri,Southern,Pujehun,Soro Gbema
6,24,Southern,Pujehun,Kpaka,Southern,Pujehun,Soro Gbema
10,24,Southern,Pujehun,Barri,Southern,Pujehun,Soro Gbema
17,24,Southern,Pujehun,Makpele,Southern,Pujehun,Soro Gbema
24,24,Southern,Pujehun,Soro Gbema,Southern,Pujehun,Soro Gbema
15,25,Southern,Bonthe,Nongoba Bullom,Southern,Bonthe,Bendu-Cha
25,25,Southern,Bonthe,Bendu-Cha,Southern,Bonthe,Bendu-Cha
