 0 freq rank
the 23135851162 0.042716495213934925 1.0
of 13151942776 0.024282871492867276 2.0
and 12997637966 0.02399797336520823 3.0
to 12136980858 0.022408913383049227 4.0
a 9081174698 0.016766876343030993 5.0
in 8469404971 0.015637345450372594 6.0
for 5933321709 0.01095489016637177 7.0
is 4705743816 0.008688372076162298 8.0
on 3750423199 0.006924531693627343 9.0
that 3400031103 0.006277591056475927 10.0
by 3350048871 0.0061853071910992095 11.0
this 3228469771 0.005960831635525331 12.0
with 3183110675 0.0058770836206532935 13.0
i 3086225277 0.0056982008723598255 14.0
you 2996181025 0.005531949160561216 15.0
it 2813163874 0.0051940384781308194 16.0
not 2633487141 0.004862295321092526 17.0
or 2590739907 0.004783369674321028 18.0
be 2398724162 0.004428844587050213 19.0
are 2393614870 0.004419411130475117 20.0
from 2275595356 0.004201507757496462 21.0
at 2272272772 0.0041953731596145825 22.0
as 2247431740 0.004149508332031318 23.0
your 2062066547 0.0038072623811833983 24.0
all 2022459848 0.0037341352091408977 25.0
have 1564202750 0.0028880398138860937 26.0
new 1551258643 0.002864140676532447 27.0
more 1544771673 0.002852163567023156 28.0
an 1518266684 0.0028032265200203855 29.0
was 1483428678 0.0027389039452362643 30.0
we 1390661912 0.0025676255648514616 31.0
will 1356293641 0.002504170277496656 32.0
home 1276852170 0.002357494834609423 33.0
can 1242323499 0.002293743395373957 34.0
us 1229112622 0.0022693517116537027 35.0
about 1226734006 0.0022649599934381794 36.0
if 1134987907 0.0020955661046467584 37.0
page 1082121730 0.00199795751523343 38.0
my 1059793441 0.0019567320490283904 39.0
has 1046319984 0.0019318555550785605 40.0
search 1024093118 0.0018908173495480363 41.0
free 1014107316 0.0018723802295841547 42.0
but 999899654 0.001846148148405269 43.0
our 998757982 0.0018440402412363299 44.0
one 993536631 0.001834399886384458 45.0
other 978481319 0.0018066027606816186 46.0
do 950751722 0.0017554046790013399 47.0
no 937112320 0.001730221795252032 48.0
information 932594387 0.0017218801845621968 49.0
time 908705570 0.0016777734633570084 50.0
they 883223816 0.0016307256493318437 51.0
site 844310242 0.0015588782171414817 52.0
he 842847219 0.0015561769888815065 53.0
up 829969374 0.0015324001932729742 54.0
may 827822032 0.001528435483972962 55.0
what 812395582 0.0014999531137770757 56.0
which 810514085 0.0014964792429852573 57.0
their 782849411 0.0014454010308096428 58.0
news 755424983 0.0013947663928529888 59.0
out 741601852 0.0013692442841106516 60.0
use 719980257 0.0013293236106559345 61.0
any 710741293 0.0013122654026512112 62.0
there 701170205 0.0012945939830055113 63.0
see 681410380 0.001258110757723225 64.0
only 661844114 0.0012219849068914926 65.0
so 661809559 0.0012219211068401445 66.0
his 660177731 0.0012189082082671083 67.0
when 650621178 0.0012012636250776768 68.0
