DISS,Province,District,Chiefdom,2004 population,,,inferred 2014 population,,
,,,,Total,Male,Female,Total,Male,Female
0,Southern,Bo,Badjia,7698,3713,3985,10860,5238,5622
1,Southern,Bo,Bagbwe,10904,5095,5809,15383,7188,8195
2,Southern,Bo,Bagbo,24834,12055,12779,35035,17007,18028
3,Southern,Bo,Baoma,50937,26306,24631,71861,37112,34749
4,Southern,Bo,Bumpe Ngao,35642,17129,18513,50283,24165,26118
5,Southern,Bo,Gbo,5050,2314,2736,7123,3264,3859
6,Southern,Bo,Jaiama Bongor,26067,12708,13359,36774,17928,18846
7,Southern,Bo,Kakua,179727,87277,92450,253558,123130,130428
8,Southern,Bo,Komboya,15616,7544,8072,22030,10643,11387
9,Southern,Bo,Lugbu,23639,12184,11455,33349,17189,16160
10,Southern,Bo,Niawa Lenga,11109,5214,5895,15671,7355,8316
11,Southern,Bo,Selenga,5412,2556,2856,7635,3606,4029
12,Southern,Bo,Tikonko,39399,19918,19481,55583,28100,27483
13,Southern,Bo,Valunia,17741,8691,9050,25028,12261,12767
14,Southern,Bo,Wonde,9893,4795,5098,13956,6764,7192
66,Northern,Bombali,Biriwa,28175,13038,15137,34090,15775,18315
67,Northern,Bombali,Bombali Shebora,22802,10818,11984,27589,13089,14500
68,Northern,Bombali,Gbanti Kamaranka,26126,12455,13671,31611,15070,16541
69,Northern,Bombali,Gbendembu Ngowahun,29971,13995,15976,36263,16933,19330
70,Northern,Bombali,Libeisaygahun,13355,6197,7158,16158,7498,8660
71,Northern,Bombali,Magbaimba Ndorh,8655,4155,4500,10471,5027,5444
72,Northern,Bombali,Makari Gbanti,124026,59400,64626,150067,71872,78195
73,Northern,Bombali,Paki Masabong,17320,7944,9376,20955,9611,11344
74,Northern,Bombali,Safroko Limba,21199,9748,11451,25649,11794,13855
75,Northern,Bombali,Sanda Loko,27667,13091,14576,33475,15839,17636
76,Northern,Bombali,Sanda Tendaran,18840,8964,9876,22795,10846,11949
77,Northern,Bombali,Sella Limba,52579,28338,24241,63618,34288,29330
78,Northern,Bombali,Tambakha,17675,8485,9190,21385,10266,11119
15,Southern,Bonthe,Bendu-Cha,4680,2293,2387,5652,2769,2883
16,Southern,Bonthe,Bum,18827,9060,9767,22740,10943,11797
17,Southern,Bonthe,Dema,28490,13396,15094,34413,16181,18232
18,Southern,Bonthe,Imperri,17576,8723,8853,21229,10536,10693
19,Southern,Bonthe,Jong,28495,13610,14885,34418,16439,17979
20,Southern,Bonthe,Kpanda Kemo,7661,3688,3973,9253,4454,4799
21,Southern,Bonthe,Kwamebai Krim,7715,3685,4030,9318,4451,4867
119,Southern,Bonthe,Nongoba Bullom,13617,6559,7058,16447,7922,8525
120,Southern,Bonthe,Sogbeni,7853,3734,4119,9485,4510,4975
121,Southern,Bonthe,Yawbeko,4773,2354,2419,5764,2843,2921
22,Eastern,Kailahun,Dea,9876,4722,5154,12821,6130,6691
23,Eastern,Kailahun,Jawei,42639,20925,21714,55358,27167,28191
24,Eastern,Kailahun,Kissi Kama,12972,6066,6906,16841,7875,8966
25,Eastern,Kailahun,Kissi Teng,30455,14711,15744,39539,19099,20440
26,Eastern,Kailahun,Kissi Tongi,33457,15780,17677,43437,20487,22950
27,Eastern,Kailahun,Luawa,65500,31017,34483,85040,40270,44770
28,Eastern,Kailahun,Malema,23298,12635,10663,30248,16404,13844
29,Eastern,Kailahun,Mandu,19708,9414,10294,25586,12222,13364
30,Eastern,Kailahun,Njaluahun,37484,18345,19139,48665,23817,24848
31,Eastern,Kailahun,Kpeje Bongre,12700,5962,6738,16488,7740,8748
32,Eastern,Kailahun,Kpeje West,13010,6332,6678,16891,8221,8670
33,Eastern,Kailahun,Penguia,12518,5981,6537,16252,7765,8487
34,Eastern,Kailahun,Upper Bambara,28438,13610,14828,36921,17670,19251
35,Eastern,Kailahun,Yawei,16135,7722,8413,20947,10025,10922
79,Northern,Kambia,Bramaia,25392,11715,13677,32078,14800,17278
80,Northern,Kambia,Gbinle Dixing,19569,9423,10146,24722,11904,12818
81,Northern,Kambia,Magbema,67211,32059,35152,84910,40501,44409
82,Northern,Kambia,Mambolo,33825,15889,17936,42732,20073,22659
83,Northern,Kambia,Masungbala,28502,13389,15113,36008,16915,19093
84,Northern,Kambia,Samu,56857,26839,30018,71830,33907,37923
85,Northern,Kambia,Tonko Limba,39106,18502,20604,49404,23374,26030
36,Eastern,Kenema,Dama,26157,12407,13750,34301,16270,18031
37,Eastern,Kenema,Dodo,142596,70765,71831,187000,92801,94199
38,Eastern,Kenema,Gaura,17361,8428,8933,22766,11052,11714
39,Eastern,Kenema,Gorama Mende,32539,16549,15990,42671,21702,20969
40,Eastern,Kenema,Kandu Leppiama,21743,11885,9858,28513,15586,12927
41,Eastern,Kenema,Koya (Kenema),10184,4811,5373,13355,6309,7046
42,Eastern,Kenema,Langrama,4356,2133,2223,5712,2797,2915
